Programa,Tamaño,Hilos,Promedio,DesvEst,Min,Max,CV%,Speedup,Eficiencia
mmFilasOpenMP,600,8,"22,035","2,558","20,522","34,869",1160.9%,6.75,84.4%
mmFilasOpenMP,600,10,"17,966",676,"17,226","20,244",376.5%,8.28,82.8%
mmFilasOpenMP,600,12,"16,810","3,695","14,609","33,903",2198.3%,8.85,73.8%
mmFilasOpenMP,800,1,"370,238","11,519","356,240","390,613",311.1%,1.00,100.0%
mmFilasOpenMP,800,2,"182,364","3,673","179,740","196,664",201.4%,2.03,101.5%
mmFilasOpenMP,800,4,"94,361","1,654","91,010","99,245",175.3%,3.92,98.1%
mmFilasOpenMP,800,6,"64,029","1,199","62,419","67,116",187.3%,5.78,96.4%
mmFilasOpenMP,800,8,"48,813",559,"47,914","50,703",114.6%,7.58,94.8%
mmFilasOpenMP,800,10,"41,124","7,166","38,699","78,903",1742.4%,9.00,90.0%
mmFilasOpenMP,800,12,"35,785","6,671","33,238","69,671",1864.0%,10.35,86.2%
mmFilasOpenMP,1000,1,"716,030","10,084","705,892","744,682",140.8%,1.00,100.0%
mmFilasOpenMP,1000,2,"374,750","12,332","358,166","408,798",329.1%,1.91,95.5%
mmFilasOpenMP,1000,4,"203,895","11,020","192,369","238,087",540.5%,3.51,87.8%
mmFilasOpenMP,1000,6,"133,539","6,738","124,845","158,271",504.6%,5.36,89.4%
mmFilasOpenMP,1000,8,"102,430","7,779","95,896","135,990",759.4%,6.99,87.4%
mmFilasOpenMP,1000,10,"80,585","1,761","77,656","84,956",218.5%,8.89,88.9%
mmFilasOpenMP,1000,12,"68,985","4,585","65,544","87,774",664.7%,10.38,86.5%
