Programa,Tamaño,Hilos,Promedio,DesvEst,Min,Max,CV%,Speedup,Eficiencia
mmFilasOpenMP,100,6,"6,661","7,090",668,"24,064",10643.3%,0.10,1.7%
mmFilasOpenMP,100,8,"12,792","9,978","1,028","40,853",7800.3%,0.05,0.6%
mmFilasOpenMP,200,1,"8,266","3,855","4,010","18,206",4664.3%,1.00,100.0%
mmFilasOpenMP,200,2,"4,823","3,383","2,248","16,312",7012.9%,1.71,85.7%
mmFilasOpenMP,200,4,"10,467","6,806","2,539","25,168",6502.4%,0.79,19.7%
mmFilasOpenMP,200,6,"13,859","13,267","1,929","64,880",9572.4%,0.60,9.9%
mmFilasOpenMP,200,8,"17,640","15,034","1,832","57,153",8522.3%,0.47,5.9%
mmFilasOpenMP,400,1,"50,592","17,922","35,318","117,756",3542.5%,1.00,100.0%
mmFilasOpenMP,400,2,"28,847","8,447","18,182","64,410",2928.4%,1.75,87.7%
mmFilasOpenMP,400,4,"24,208","15,654","11,851","84,685",6466.5%,2.09,52.2%
mmFilasOpenMP,400,6,"22,844","15,555","10,455","69,920",6809.3%,2.21,36.9%
mmFilasOpenMP,400,8,"29,630","17,037","10,166","72,271",5749.9%,1.71,21.3%
mmFilasOpenMP,600,1,"134,024","10,649","120,403","159,437",794.6%,1.00,100.0%
mmFilasOpenMP,600,2,"76,494","9,652","64,677","100,823",1261.8%,1.75,87.6%
mmFilasOpenMP,600,4,"49,228","7,878","35,631","64,100",1600.3%,2.72,68.1%
mmFilasOpenMP,600,6,"47,929","18,098","33,756","118,912",3775.9%,2.80,46.6%
mmFilasOpenMP,600,8,"47,295","20,564","28,616","100,626",4348.0%,2.83,35.4%
mmFilasOpenMP,800,1,"337,515","36,471","298,889","453,531",1080.6%,1.00,100.0%
mmFilasOpenMP,800,2,"172,536","13,762","154,716","212,151",797.6%,1.96,97.8%
mmFilasOpenMP,800,4,"105,714","15,526","89,064","158,272",1468.6%,3.19,79.8%
mmFilasOpenMP,800,6,"95,170","10,150","78,969","118,549",1066.5%,3.55,59.1%
mmFilasOpenMP,800,8,"96,192","18,569","74,902","141,438",1930.4%,3.51,43.9%
mmFilasOpenMP,1000,1,"733,495","33,335","666,645","798,397",454.5%,1.00,100.0%
mmFilasOpenMP,1000,2,"379,327","30,377","329,819","453,405",800.8%,1.93,96.7%
mmFilasOpenMP,1000,4,"211,943","24,746","189,441","279,797",1167.6%,3.46,86.5%
mmFilasOpenMP,1000,6,"177,620","15,453","151,368","217,001",870.0%,4.13,68.8%
mmFilasOpenMP,1000,8,"163,630","30,328","134,216","277,035",1853.5%,4.48,56.0%
